Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
168.63.129.16-10.0.0.15-32526-49090-6,10.0.0.15,49090,168.63.129.16,32526,6,19/04/2025 01:44:34 PM,99,0,2,0,0,0,0,0,0,0,0,0,0,0,20202.0202,99,0,99,99,0,0,0,0,0,99,99,0,99,99,0,0,0,0,0,64,0,20202.0202,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,16384,0,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-32526-54690-6,10.0.0.15,54690,168.63.129.16,32526,6,19/04/2025 01:43:28 PM,113,0,2,0,0,0,0,0,0,0,0,0,0,0,17699.11504,113,0,113,113,0,0,0,0,0,113,113,0,113,113,0,0,0,0,0,64,0,17699.11504,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,16386,0,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-53-56914-17,10.0.0.15,56914,168.63.129.16,53,17,19/04/2025 01:44:59 PM,46978,0,2,0,110,0,0,0,0,63,47,55,11.3137085,2341.521563,42.57311933,46978,0,46978,46978,0,0,0,0,0,46978,46978,0,46978,46978,0,0,0,0,0,16,0,42.57311933,47,63,52.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,0,78.5,0,55,0,0,0,0,0,0,0,0,2,110,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
10.0.0.15-10.0.0.37-80-54588-6,10.0.0.15,80,10.0.0.37,54588,6,19/04/2025 01:36:35 PM,486,0,2,0,0,0,0,0,0,0,0,0,0,0,4115.226337,486,0,486,486,0,0,0,0,0,486,486,0,486,486,0,0,0,0,0,64,0,4115.226337,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
10.0.0.15-10.0.0.37-80-52986-6,10.0.0.15,80,10.0.0.37,52986,6,19/04/2025 01:36:34 PM,535,0,2,0,0,0,0,0,0,0,0,0,0,0,3738.317757,535,0,535,535,0,0,0,0,0,535,535,0,535,535,0,0,0,0,0,64,0,3738.317757,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-80-41314-6,10.0.0.15,41314,168.63.129.16,80,6,19/04/2025 01:39:03 PM,174,0,2,0,0,0,0,0,0,0,0,0,0,0,11494.25287,174,0,174,174,0,0,0,0,0,174,174,0,174,174,0,0,0,0,0,64,0,11494.25287,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,16387,0,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-32526-38008-6,10.0.0.15,38008,168.63.129.16,32526,6,19/04/2025 01:32:56 PM,135,0,2,0,0,0,0,0,0,0,0,0,0,0,14814.81481,135,0,135,135,0,0,0,0,0,135,135,0,135,135,0,0,0,0,0,64,0,14814.81481,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,16384,0,0,0,0,0,0,0,0,0,0,No Label
10.0.0.15-34.107.243.93-52467-443-17,10.0.0.15,52467,34.107.243.93,443,17,19/04/2025 01:40:07 PM,19104258,13,1,16276,1252,1252,1252,1252,0,1252,1252,1252,0,917.4917969,0.732820924,1469558.308,2832541.27,9651770,17,1.91E+07,1592019.583,2922327.611,9651770,17,0,0,0,0,0,0,0,0,0,104,8,0.680476572,0.052344352,1252,1252,1252,0,0,0,0,0,0,0,0,0,0,0,1341.428571,1252,1252,0,0,0,0,0,0,13,16276,1,1252,-1,-1,13,0,9452471,0,9452471,9452471,9651770,0,9651770,9651770,No Label
10.0.0.15-10.0.0.37-443-36002-6,10.0.0.37,36002,10.0.0.15,443,6,19/04/2025 01:36:34 PM,127325,5,5,524,1948,517,0,104.8,230.4467401,1948,0,389.6,871.172084,19414.88317,78.53917141,14147.22222,38940.56337,117879,0,126879,31719.75,58026.238,118699,0,124464,31116,57897.0163,117879,22,0,0,0,0,160,176,39.26958571,39.26958571,0,1948,224.7272727,592.1584401,350651.6182,0,1,0,0,0,0,0,0,1,247.2,104.8,389.6,0,0,0,0,0,0,5,524,5,1948,-1,506,2,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-32526-60534-6,10.0.0.15,60534,168.63.129.16,32526,6,19/04/2025 01:37:03 PM,220,0,2,0,0,0,0,0,0,0,0,0,0,0,9090.909091,220,0,220,220,0,0,0,0,0,220,220,0,220,220,0,0,0,0,0,64,0,9090.909091,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,16386,0,0,0,0,0,0,0,0,0,0,No Label
